path,fingerprint,stage_keys,n_urls,coverage_pct,item_types,institutions,periods,example_url,example_paths
A_phase_stages,9105149e1127673dc5f29a5fd4aa4c3d,date|priority|text,6,1.3,"A, I",NR,"mid, old",/gegenstand/VII/I/305,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, documents, documents[].documents, documents[].documents[].link"
A_phase_stages,6b85430f29b45a08baa97b0311632636,date|priority|text,3,0.6,"A-BR, III","BR, NR","mid, old",/gegenstand/BR/A-BR/9,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, documents, documents[].documents"
A_phase_stages,4fe8816d9b2a2c3b65f9257036398ed4,date|priority|text,3,0.6,"I, III",NR,"mid, old",/gegenstand/XIII/III/83,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, documents, documents[].documents, documents[].documents[].link"
A_phase_stages,9c8b33df336360a6353ea410607c2c26,date|priority|text,3,0.6,PET,NR,recent,/gegenstand/XXVII/PET/68,"approvals, approvals.filter, approvals.filter.data, approvals.filter.rendertype, approvals.new, approvalstate, breadcrumbs, breadcrumbs[].title"
A_phase_stages,b98f229ca9c4e82fec3338220f91b603,date|text,3,0.6,A-BR,BR,recent,/gegenstand/BR/A-BR/339,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, correspondence, correspondence[].additional, correspondence[].date, correspondence[].title"
A_phase_stages,bdbba21b2a25cf109be64b41e7e604d8,date|text,2,0.4,A-BR,BR,old,/gegenstand/BR/A-BR/3,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, documents, documents[].documents"
A_phase_stages,1315daaee06634ff8018065c9a2c9c2e,date|fsth|priority|text,2,0.4,III,NR,"mid, recent",/gegenstand/XXIII/III/127,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, correspondence, correspondence[].additional, correspondence[].date, correspondence[].title"
A_phase_stages,5bfcac425bc0e8c8f64aa226749934b9,date|fsth|priority|text,2,0.4,"A-BR, US","BR, NR",mid,/gegenstand/BR/A-BR/182,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, correspondence, correspondence[].additional, correspondence[].date, correspondence[].title"
A_phase_stages,9e6bbc6f3357820895ef3ea1383bf2dd,date|priority|text,2,0.4,A-BR,BR,mid,/gegenstand/BR/A-BR/89,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, documents, documents[].documents"
A_phase_stages,6833491c4f9163f30acf1331c7940239,date|priority|text,2,0.4,"BAESM, III-BR","BR, NR","mid, recent",/gegenstand/BR/III-BR/583,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, correspondence, correspondence[].additional, correspondence[].date, correspondence[].title"
A_phase_stages,c933e2a644744cccec0ef8e94c682884,date|fsth|priority|text,2,0.4,BI,NR,mid,/gegenstand/XXV/BI/38,"approvals, approvals.filter, approvals.filter.data, approvals.filter.rendertype, approvals.new, approvalstate, breadcrumbs, breadcrumbs[].title"
A_phase_stages,95eaa7c51fe7148db1049ffcafa7eca2,date|fsth|priority|text,2,0.4,PET,NR,mid,/gegenstand/XXIV/PET/150,"approvals, approvals.filter, approvals.filter.data, approvals.filter.rendertype, approvals.new, approvalstate, breadcrumbs, breadcrumbs[].title"
A_phase_stages,b1aba0bf3d26bbeb0022d1a09b7fead3,date|fsth|priority|text,2,0.4,IMM,NR,mid,/gegenstand/XX/IMM/12,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, doktyp, einlangen"
A_phase_stages,ac16e4a96f66c78a0a8ec34b5b55a8b1,date|priority|text,2,0.4,PET-BR,BR,mid,/gegenstand/BR/PET-BR/15,"approvals, approvals.filter, approvals.filter.data, approvals.filter.rendertype, approvals.new, approvalstate, breadcrumbs, breadcrumbs[].title"
A_phase_stages,c3f880e09f42cfd320bcff6894a60f77,date|priority|text,2,0.4,BAESM,NR,mid,/gegenstand/XXIV/BAESM/14,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, documents, documents[].documents"
A_phase_stages,4e9b05131f270e5d737e19d1c3eb1b77,date|priority|text,2,0.4,IMM,NR,recent,/gegenstand/XXVII/IMM/13,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, doktyp, einlangen"
A_phase_stages,1b1833c67b310e420a6ab9d3a1f81418,date|priority|text,2,0.4,PET-BR,BR,recent,/gegenstand/BR/PET-BR/49,"approvals, approvals.filter, approvals.filter.data, approvals.filter.rendertype, approvals.new, approvalstate, breadcrumbs, breadcrumbs[].title"
A_phase_stages,9ed1af376228aa47b789623b671e406e,date|fsth|priority|text,1,0.2,III,NR,mid,/gegenstand/XXII/III/175,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, documents, documents[].documents"
A_phase_stages,c211e3d557495b892d266af0f1d1188c,date|priority|text,1,0.2,A,NR,mid,/gegenstand/XXV/A/559,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, correspondence, correspondence[].additional, correspondence[].date, correspondence[].title"
A_phase_stages,b37cbd66437f92b50175cac1f219b665,date|priority|text,1,0.2,III-BR,BR,mid,/gegenstand/BR/III-BR/460,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, documents, documents[].documents"
A_phase_stages,35f24c92a7b13451d08e4b8b3a186a31,date|fsth|priority|text,1,0.2,III-BR,BR,mid,/gegenstand/BR/III-BR/244,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, documents, documents[].documents"
A_phase_stages,f10fc52a75b79e2cd2365456f0994303,date|fsth|priority|text,1,0.2,BI,NR,mid,/gegenstand/XXV/BI/72,"approvals, approvals.filter, approvals.filter.data, approvals.filter.rendertype, approvals.new, approvalstate, breadcrumbs, breadcrumbs[].title"
A_phase_stages,9c8b33df336360a6353ea410607c2c26,date|fsth|priority|text,1,0.2,PET,NR,mid,/gegenstand/XXV/PET/2,"approvals, approvals.filter, approvals.filter.data, approvals.filter.rendertype, approvals.new, approvalstate, breadcrumbs, breadcrumbs[].title"
A_phase_stages,bc66c6dfef65c9b3d37d737b722d340f,date|priority|text,1,0.2,IMM,NR,mid,/gegenstand/XXIV/IMM/46,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, doktyp, einlangen"
A_phase_stages,dd85c9e511d7343ac4fda10a5f32679a,date|fsth|priority|text,1,0.2,URH2,NR,mid,/gegenstand/XXV/URH2/1,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, documents, documents[].documents"
