item_type,institution,A_phase_stages,C_no_stages,B_flat_stages
A,NR,8,1,0
A-BR,BR,9,0,0
AA,NR,0,0,6
AA-BR,BR,0,0,3
AAA,NR,0,0,3
AB,NR,0,0,9
AB-BR,BR,0,0,6
ABEU,NR,0,0,6
ABM,NR,0,0,3
ABM-BR,BR,0,0,3
ABPR,NR,0,0,9
AEA,NR,0,0,6
AEA-BR,BR,0,0,4
AFEU-BR,BR,0,0,3
AS,NR,0,0,6
AS-BR,BR,0,0,6
AUA,NR,0,0,6
BAESM,NR,4,0,0
BI,NR,6,0,0
BNR,BR,0,0,6
BNR,NR,0,0,6
BS,NR,0,0,6
BS-BR,BR,0,0,6
BSE,NR,0,0,4
BSESM,NR,0,0,3
BUV,NR,0,0,2
BUV-BR,BR,0,0,1
E,NR,0,0,9
E-BR,BR,0,0,9
EAA,NR,0,0,3
EUBTG,NR,0,0,6
EUD,NR,0,0,6
EUD-BR,BR,0,0,6
EUPLB,NR,0,0,3
FS,NR,0,0,6
FS-BR,BR,0,0,6
FVUS,NR,0,0,6
GAST,NR,0,0,4
GAST-BR,BR,0,0,3
GO,NR,0,0,6
GO-BR,BR,0,0,6
I,NR,4,0,5
I-BR,BR,0,0,9
III,NR,9,0,0
III-BR,BR,6,0,0
IMM,NR,6,0,0
IV-BR,BR,0,0,6
J,NR,0,0,9
J-BR,BR,0,0,6
JEU,NR,0,0,6
JPR,NR,0,0,9
KOMM,NR,0,0,6
LHER-BR,BR,0,0,6
M,NR,0,0,6
M-BR,BR,0,0,6
ME,NR,0,0,3
MEU,NR,0,0,3
MEU-BR,BR,0,0,3
MT,NR,0,0,3
MT-BR,BR,0,0,6
MTEU,NR,0,0,6
MTPL-BR,BR,0,0,1
PET,NR,6,0,0
PET-BR,BR,6,0,0
RGER,NR,0,1,5
RGER-BR,BR,0,0,6
S,NR,0,0,6
S-BR,BR,0,0,6
SB-BR,BR,0,0,6
SBEU,NR,0,0,3
SBPL-BR,BR,0,0,1
SEU,NR,0,0,6
SINF,NR,0,0,6
SINF-BR,BR,0,0,6
SLT-BR,BR,0,0,6
SN,NR,0,0,3
SNME,NR,0,0,5
SONS,NR,0,0,2
SPL-BR,BR,0,0,1
UEA,NR,0,0,6
UEA-BR,BR,0,0,6
URH2,NR,5,0,0
US,NR,6,0,0
V-BR,BR,1,0,0
VER,NR,0,0,9
VER-BR,BR,0,0,6
W,NR,0,0,6
W-BR,BR,0,0,6
ZA,NR,0,0,3
